feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,target_variable
3.07,4776.48,2.13,500.0,5.19,4.26,2.5,4.02,6.91,5.22,,1642.47,4.25,1.5,,4.26,6.0,137.19,-0.09,,500.0,3729.87,5.58,0.0,0.0,0.03,,,
4.28,318.5,2.9,154.09,0.24,5.39,3.22,4.95,5.84,0.17,232.21,7.14,0.11,1.63,0.01,5.39,6.55,55.84,0.3,0.07,318.5,154.09,0.1,18.27,1.35,0.17,0.63,0.63,-0.3333333333333334
0.0,1776.99,2.34,0.0,0.0,0.0,2.34,0.0,7.71,0.94,235.07,6.52,0.0,3.45,3.37,5.55,0.0,259.44,0.63,,0.0,1999.39,0.96,0.0,0.0,0.12,0.0,0.0,-1.0
4.28,325.59,3.01,276.88,0.69,5.39,2.91,5.8,6.59,0.46,212.9,7.12,0.35,3.96,0.02,5.39,8.02,15.35,0.35,0.07,325.59,276.88,0.51,10.22,1.26,0.33,0.6499999999999999,0.6499999999999999,-0.21818181818181825
0.87,253.82,3.5,113.25,0.59,5.47,3.03,3.68,5.5,0.31,206.2,19.46,0.31,8.07,0.02,5.47,5.19,15.5,-0.36,0.06,500.0,113.25,0.31,103.78,0.0,,0.42999999999999994,0.42999999999999994,0.06250000000000006
2.45,92.85,1.81,446.88,0.26,16.4,1.92,6.38,10.51,0.21,152.69,8.92,0.8,3.1,0.72,12.51,14.25,92.27,0.53,0.12,270.92,149.43,0.16,7.13,4.64,0.1,0.31000000000000005,0.31000000000000005,-0.6226415094339622
4.03,430.42,2.57,181.3,0.0,2.68,2.05,3.58,5.5,0.24,272.97,5.41,0.45,2.72,0.04,2.68,4.09,128.33,0.34,0.03,0.0,181.3,0.12,13.9,3.79,0.03,0.6599999999999999,0.6599999999999999,0.04347826086956513
3.91,78.96,3.85,500.0,0.35,4.08,4.77,2.87,10.67,0.68,162.1,15.93,1.23,1.94,0.04,16.61,4.74,79.79,-0.17,0.08,78.96,176.47,0.29,0.0,15.68,,0.75,0.75,1.2647058823529411
4.03,305.32,4.65,129.27,0.0,2.68,4.92,3.37,5.13,0.41,226.32,15.98,0.59,1.87,0.04,2.68,3.32,35.55,0.16,0.04,0.0,129.27,0.14,16.19,2.28,,,,-0.15714285714285714
0.0,2168.43,2.83,35.03,0.0,5.58,3.24,3.89,4.86,0.53,235.96,5.66,0.53,1.47,0.02,5.58,4.87,93.72,0.09,0.03,0.0,35.03,2.11,78.95,0.0,0.09,,,-0.911764705882353
